order_id,cust_id,amount,status,order_date,updated_at
100001,C3005,197.09,delivered,2026-09-06,2026-09-15 23:00:00
100002,C8050,362.44,cancelled,2026-09-11,2026-09-15 21:00:00
100003,C6400,239.96,cancelled,2026-09-05,2026-09-17 03:00:00
100004,C7778,84.67,shipped,2026-08-30,2026-09-16 03:00:00
100005,C2838,419.98,delivered,2026-09-06,2026-09-18 02:00:00
100006,C2300,385.03,shipped,09/07/2026,2026-09-13 18:00:00
100007,C1897,104.54,returned,09/10/2026,2026-09-11 19:00:00
100008,C4026,19.57,placed,08/26/2026,2026-09-06 21:00:00
100009,C1380,119.84,returned,2026-09-05,2026-09-17 04:00:00
100010,C6061,129.21,delivered,09/05/2026,2026-09-17 23:00:00
100011,C3371,438.31,delivered,2026-09-09,2026-09-17 17:00:00
100012,C2262,19.57,cancelled,09/03/2026,2026-09-07 19:00:00
100013,C5148,346.43,delivered,08/24/2026,2026-09-07 20:00:00
100014,C1531,303.55,delivered,08/27/2026,2026-09-05 06:00:00
100015,C2262,197.09,shipped,2026-09-10,2026-09-10 18:00:00
100016,C7995,428.92,shipped,2026-09-07,2026-09-13 05:00:00
100017,C5496,239.96,shipped,2026-08-30,2026-09-05 07:00:00
100018,C7778,177.78,placed,09/07/2026,2026-09-16 05:00:00
100019,C1380,434.08,delivered,09/15/2026,2026-09-16 06:00:00
100020,C7725,407.92,delivered,2026-09-14,2026-09-17 08:00:00
100021,C5074,455.41,placed,08/28/2026,2026-09-07 11:00:00
100022,C2559,19.57,cancelled,2026-09-10,2026-09-18 08:00:00
100023,C6291,248.01,delivered,2026-09-17,2026-09-18 10:00:00
100024,C2262,407.92,placed,09/09/2026,2026-09-11 18:00:00
100025,C6614,6.12,delivered,08/29/2026,2026-09-13 11:00:00
100026,C8112,12.78,placed,09/10/2026,2026-09-17 16:00:00
100027,C6614,177.78,cancelled,08/30/2026,2026-09-16 18:00:00
100028,,177.78,shipped,09/10/2026,2026-09-15 01:00:00
100029,C7725,385.03,shipped,2026-09-14,2026-09-15 00:00:00
100030,C2283,303.55,delivered,2026-08-29,2026-08-31 09:00:00
100031,C7582,119.84,delivered,09/03/2026,2026-09-13 00:00:00
100032,C6291,415.30,shipped,08/28/2026,2026-09-03 20:00:00
100033,C5148,6.12,shipped,09/06/2026,2026-09-10 03:00:00
100034,C4026,304.94,placed,08/29/2026,2026-09-08 06:00:00
100035,C3933,342.47,shipped,2026-08-29,2026-09-14 11:00:00
100036,C2783,249.99,delivered,2026-09-09,2026-09-15 21:00:00
100037,C2647,249.99,delivered,08/27/2026,2026-09-15 22:00:00
100038,C3279,6.12,shipped,2026-09-13,2026-09-14 05:00:00
100039,C3884,385.03,shipped,2026-08-30,2026-09-05 04:00:00
100040,C4532,304.94,cancelled,09/01/2026,2026-09-02 22:00:00
100041,C3933,304.94,returned,2026-09-13,2026-09-17 07:00:00
100042,C3279,301.54,placed,2026-09-10,2026-09-13 20:00:00
100043,C6147,6.12,shipped,2026-08-29,2026-09-03 23:00:00
100044,C2838,301.54,cancelled,2026-09-02,2026-09-18 12:00:00
100045,C3755,23.79,delivered,2026-09-01,2026-09-05 20:00:00
100046,C7221,121.57,placed,09/12/2026,2026-09-18 01:00:00
100047,C4026,121.57,shipped,2026-08-27,2026-09-07 21:00:00
100048,C5940,428.92,delivered,08/29/2026,2026-09-05 12:00:00
100049,C3523,455.41,placed,2026-09-11,2026-09-16 10:00:00
100050,C3884,239.96,delivered,2026-08-31,2026-09-10 11:00:00
100051,C6291,415.30,placed,09/07/2026,2026-09-15 10:00:00
100052,C3279,239.96,delivered,2026-09-10,2026-09-12 02:00:00
100053,C3523,129.23,shipped,09/05/2026,2026-09-09 09:00:00
100054,C5051,434.08,delivered,2026-09-11,2026-09-15 16:00:00
100055,C6400,-129.48,shipped,2026-08-24,2026-09-11 14:00:00
100056,C2492,23.79,delivered,2026-09-12,2026-09-16 12:00:00
100057,C6061,434.35,shipped,2026-09-15,2026-09-16 08:00:00
100058,C9999,0.01,test,2026-08-26,2026-08-30 09:00:00
100059,C5474,32.86,shipped,2026-08-29,2026-09-04 19:00:00
100060,C3884,362.44,shipped,2026-09-04,2026-09-15 13:00:00
100061,C5051,84.67,delivered,09/12/2026,2026-09-17 18:00:00
100062,C2022,12.78,delivered,08/24/2026,2026-09-06 13:00:00
100063,C5896,434.35,delivered,08/27/2026,2026-09-16 20:00:00
100064,C7725,12.78,placed,09/14/2026,2026-09-18 12:00:00
100065,C5969,36.61,shipped,09/14/2026,2026-09-16 09:00:00
100066,C2838,-84.67,delivered,2026-08-31,2026-09-06 19:00:00
100067,C5940,346.43,delivered,09/06/2026,2026-09-09 12:00:00
100068,C8050,239.96,delivered,08/26/2026,2026-08-28 19:00:00
100069,C6614,180.75,shipped,09/16/2026,2026-09-16 22:00:00
100070,C8112,180.75,delivered,2026-09-12,2026-09-15 11:00:00
100071,C6145,362.44,placed,09/09/2026,2026-09-13 18:00:00
100072,C7582,303.55,shipped,2026-08-29,2026-09-07 15:00:00
100073,C5552,434.35,delivered,2026-09-04,2026-09-06 01:00:00
100074,C3755,419.98,returned,2026-09-06,2026-09-14 15:00:00
100075,C5555,385.03,shipped,08/27/2026,2026-09-06 21:00:00
100076,C7725,346.43,shipped,2026-09-08,2026-09-15 16:00:00
100077,C5969,428.92,delivered,2026-08-26,2026-09-12 15:00:00
100078,C3933,455.41,placed,2026-09-01,2026-09-11 22:00:00
100079,C5965,129.48,shipped,09/15/2026,2026-09-17 11:00:00
100080,C2057,385.03,shipped,09/15/2026,2026-09-17 01:00:00
100081,C2492,197.09,delivered,2026-08-25,2026-09-01 10:00:00
100082,C8502,301.99,placed,09/17/2026,2026-09-17 18:00:00
100083,C8213,362.44,shipped,2026-08-24,2026-09-03 00:00:00
100084,C5552,340.45,shipped,09/13/2026,2026-09-18 03:00:00
100085,C9999,0.01,test,09/04/2026,2026-09-15 01:00:00
100086,C3884,129.48,shipped,08/30/2026,2026-09-04 02:00:00
100087,C7778,239.96,delivered,2026-08-30,2026-08-31 09:00:00
100088,C5148,211.11,shipped,09/12/2026,2026-09-14 12:00:00
100089,C1380,303.55,delivered,2026-09-12,2026-09-16 19:00:00
100090,C3664,84.67,delivered,2026-08-30,2026-09-06 06:00:00
100091,C7582,177.78,shipped,2026-09-14,2026-09-15 21:00:00
100092,C1801,455.41,placed,2026-09-12,2026-09-16 07:00:00
100093,C2559,129.21,placed,09/14/2026,2026-09-16 07:00:00
100094,C4532,102.54,delivered,2026-09-01,2026-09-13 11:00:00
100095,C6147,23.79,shipped,2026-09-03,2026-09-17 14:00:00
100096,C7582,36.61,placed,2026-08-28,2026-09-16 15:00:00
100097,C8050,104.54,returned,09/11/2026,2026-09-11 16:00:00
100098,C3279,304.94,shipped,09/17/2026,2026-09-18 13:00:00
100099,,455.41,delivered,2026-08-31,2026-09-17 19:00:00
100100,C2838,129.21,delivered,2026-09-08,2026-09-15 09:00:00
100101,C2492,303.55,delivered,09/08/2026,2026-09-14 20:00:00
100102,C2283,121.57,cancelled,2026-08-30,2026-09-03 15:00:00
100103,C3664,36.61,placed,2026-08-26,2026-09-14 02:00:00
100104,C1801,12.78,delivered,2026-09-09,2026-09-18 13:00:00
100105,C8050,197.09,returned,2026-09-13,2026-09-15 15:00:00
100106,C5074,434.08,delivered,2026-09-07,2026-09-15 04:00:00
100107,C2559,301.99,shipped,2026-09-11,2026-09-11 05:00:00
100108,C6400,19.57,delivered,2026-09-13,2026-09-16 17:00:00
100109,C7995,180.75,delivered,09/09/2026,2026-09-12 10:00:00
100110,C5474,415.30,delivered,2026-09-12,2026-09-14 08:00:00
100111,C5051,19.57,cancelled,2026-09-16,2026-09-16 06:00:00
100112,C5831,129.21,shipped,2026-09-16,2026-09-17 23:00:00
100113,C6468,211.11,delivered,2026-09-09,2026-09-09 04:00:00
100114,C5896,303.55,delivered,08/30/2026,2026-09-05 08:00:00
100115,C1940,248.01,shipped,2026-08-30,2026-09-17 19:00:00
100116,C2559,304.94,placed,2026-08-25,2026-09-01 09:00:00
100117,C6400,23.79,shipped,2026-08-31,2026-09-07 20:00:00
100118,C1940,340.45,delivered,09/02/2026,2026-09-05 00:00:00
100119,C1380,102.54,placed,08/24/2026,2026-09-16 04:00:00
100120,C5074,129.48,returned,2026-09-06,2026-09-10 13:00:00
100121,C2783,248.01,delivered,2026-08-26,2026-09-09 00:00:00
100122,C6462,342.47,delivered,08/31/2026,2026-09-07 18:00:00
100123,C2838,36.61,delivered,08/26/2026,2026-09-07 16:00:00
100124,C3523,36.61,shipped,2026-08-30,2026-08-30 19:00:00
100125,C3884,434.08,delivered,2026-09-16,2026-09-16 04:00:00
100126,C7582,36.61,delivered,2026-09-17,2026-09-17 20:00:00
100127,C7582,104.54,shipped,2026-09-07,2026-09-07 12:00:00
100128,C5969,177.78,shipped,09/16/2026,2026-09-16 05:00:00
100129,C2492,342.47,shipped,08/24/2026,2026-09-11 13:00:00
100130,C1380,428.92,delivered,2026-09-01,2026-09-01 06:00:00
100131,C1897,340.45,delivered,2026-08-24,2026-08-28 07:00:00
100132,C2057,180.75,shipped,2026-09-03,2026-09-05 08:00:00
100133,C5969,303.55,placed,09/06/2026,2026-09-08 23:00:00
100134,C1940,342.47,delivered,08/24/2026,2026-08-24 12:00:00
100135,C2927,301.99,cancelled,2026-08-30,2026-09-08 18:00:00
100136,C7725,129.48,shipped,2026-09-11,2026-09-11 18:00:00
100137,C2262,84.67,delivered,2026-09-09,2026-09-13 01:00:00
100138,C9999,0.01,test,2026-08-30,2026-09-18 08:00:00
100139,C2783,104.54,delivered,2026-09-05,2026-09-05 21:00:00
100140,C7048,32.86,delivered,2026-09-04,2026-09-09 07:00:00
100141,C9999,0.01,test,2026-08-24,2026-09-05 22:00:00
100142,C6147,121.57,delivered,2026-09-08,2026-09-16 07:00:00
100143,C2838,248.01,delivered,2026-08-26,2026-08-27 09:00:00
100144,C9999,0.01,test,2026-09-03,2026-09-17 06:00:00
100145,C3664,129.48,shipped,09/16/2026,2026-09-16 12:00:00
100146,C7778,6.12,shipped,08/24/2026,2026-08-31 04:00:00
100147,C5552,340.45,delivered,2026-08-30,2026-09-18 12:00:00
100148,C5051,129.23,delivered,08/27/2026,2026-09-09 20:00:00
100149,C5474,301.54,delivered,2026-08-26,2026-09-06 04:00:00
100150,C5148,303.55,delivered,08/27/2026,2026-09-14 06:00:00
100151,C5552,19.57,placed,2026-08-24,2026-09-18 09:00:00
100152,C3279,340.45,shipped,2026-09-17,2026-09-17 21:00:00
100153,C2262,385.03,delivered,2026-09-12,2026-09-12 14:00:00
100154,C6468,455.41,delivered,2026-08-24,2026-09-17 14:00:00
100155,C3664,385.03,shipped,2026-09-02,2026-09-10 02:00:00
100156,C7778,6.12,shipped,09/15/2026,2026-09-17 07:00:00
100157,C2492,12.78,delivered,2026-08-31,2026-09-15 05:00:00
100158,C5496,197.09,placed,08/30/2026,2026-09-07 10:00:00
100159,C2783,-129.21,delivered,2026-09-14,2026-09-15 15:00:00
100160,C1897,362.44,shipped,2026-09-05,2026-09-05 04:00:00
100161,C2022,239.96,delivered,2026-09-04,2026-09-04 18:00:00
100162,C1940,36.61,delivered,09/06/2026,2026-09-17 15:00:00
100163,C6468,36.61,placed,2026-09-13,2026-09-15 04:00:00
100164,C1940,342.47,shipped,2026-08-27,2026-08-29 06:00:00
100165,C6400,303.55,delivered,2026-09-02,2026-09-03 17:00:00
100166,C3279,58.79,shipped,09/11/2026,2026-09-14 15:00:00
100167,C4532,438.31,placed,2026-09-14,2026-09-18 03:00:00
100168,C1531,58.79,delivered,2026-09-10,2026-09-15 18:00:00
100169,C5965,-342.47,delivered,2026-09-16,2026-09-17 18:00:00
100170,C5965,129.48,delivered,2026-09-04,2026-09-18 07:00:00
100171,C3884,362.44,shipped,2026-09-05,2026-09-17 16:00:00
100172,C6291,340.45,placed,09/15/2026,2026-09-17 12:00:00
100173,C4532,197.09,placed,2026-09-04,2026-09-12 14:00:00
100174,C7582,58.79,shipped,2026-08-25,2026-09-04 01:00:00
100175,,36.61,delivered,08/24/2026,2026-09-15 00:00:00
100176,C3933,32.86,delivered,08/24/2026,2026-09-14 04:00:00
